date,category_id,category_title,revenue
2023-09-01,1,Wine,130702304.0
2023-10-01,1,Wine,150651728.0
2023-11-01,1,Wine,131261576.0
2023-12-01,1,Wine,131196120.0
2024-01-01,1,Wine,120198048.0
2024-02-01,1,Wine,139438992.0
2024-03-01,1,Wine,149480848.0
2024-04-01,1,Wine,151342720.0
2024-05-01,1,Wine,141111344.0
2024-06-01,1,Wine,144179792.0
2024-07-01,1,Wine,127306736.0
2024-08-01,1,Wine,135072752.0
2024-09-01,1,Wine,143443296.0
2024-10-01,1,Wine,129423616.0
2024-11-01,1,Wine,121044680.0
2024-12-01,1,Wine,121829288.0
2025-01-01,1,Wine,124676080.0
2025-02-01,1,Wine,134822608.0
2023-09-01,2,Champagne & Sparkling Wine,167134512.0
2023-10-01,2,Champagne & Sparkling Wine,190279232.0
2023-11-01,2,Champagne & Sparkling Wine,158369664.0
2023-12-01,2,Champagne & Sparkling Wine,187679168.0
2024-01-01,2,Champagne & Sparkling Wine,195921216.0
2024-02-01,2,Champagne & Sparkling Wine,168972608.0
2024-03-01,2,Champagne & Sparkling Wine,185101408.0
2024-04-01,2,Champagne & Sparkling Wine,180576880.0
2024-05-01,2,Champagne & Sparkling Wine,167952464.0
2024-06-01,2,Champagne & Sparkling Wine,179681392.0
2024-07-01,2,Champagne & Sparkling Wine,185674976.0
2024-08-01,2,Champagne & Sparkling Wine,172826224.0
2024-09-01,2,Champagne & Sparkling Wine,168552832.0
2024-10-01,2,Champagne & Sparkling Wine,168419968.0
2024-11-01,2,Champagne & Sparkling Wine,177604336.0
2024-12-01,2,Champagne & Sparkling Wine,176704432.0
2025-01-01,2,Champagne & Sparkling Wine,186684064.0
2025-02-01,2,Champagne & Sparkling Wine,167365184.0
2023-09-01,3,Whiskey,641509888.0
2023-10-01,3,Whiskey,618017728.0
2023-11-01,3,Whiskey,659305984.0
2023-12-01,3,Whiskey,631478272.0
2024-01-01,3,Whiskey,642371072.0
2024-02-01,3,Whiskey,629553024.0
2024-03-01,3,Whiskey,544245632.0
2024-04-01,3,Whiskey,586190656.0
2024-05-01,3,Whiskey,551763392.0
2024-06-01,3,Whiskey,584714688.0
2024-07-01,3,Whiskey,588530368.0
2024-08-01,3,Whiskey,586073728.0
2024-09-01,3,Whiskey,589543104.0
2024-10-01,3,Whiskey,593543808.0
2024-11-01,3,Whiskey,585669888.0
2024-12-01,3,Whiskey,589040640.0
2025-01-01,3,Whiskey,634638016.0
2025-02-01,3,Whiskey,602591936.0
2023-09-01,4,Cognac & Brandy,101611496.0
2023-10-01,4,Cognac & Brandy,102901504.0
2023-11-01,4,Cognac & Brandy,106765352.0
2023-12-01,4,Cognac & Brandy,109157872.0
2024-01-01,4,Cognac & Brandy,108210544.0
2024-02-01,4,Cognac & Brandy,127069800.0
2024-03-01,4,Cognac & Brandy,113680840.0
2024-04-01,4,Cognac & Brandy,133134176.0
2024-05-01,4,Cognac & Brandy,109152512.0
2024-06-01,4,Cognac & Brandy,128587968.0
2024-07-01,4,Cognac & Brandy,123932328.0
2024-08-01,4,Cognac & Brandy,123929416.0
2024-09-01,4,Cognac & Brandy,76780280.0
2024-10-01,4,Cognac & Brandy,112003768.0
2024-11-01,4,Cognac & Brandy,108122824.0
2024-12-01,4,Cognac & Brandy,104687032.0
2025-01-01,4,Cognac & Brandy,88960608.0
2025-02-01,4,Cognac & Brandy,122674392.0
2023-09-01,5,Vodka,98738472.0
2023-10-01,5,Vodka,95148040.0
2023-11-01,5,Vodka,94781640.0
2023-12-01,5,Vodka,95183024.0
2024-01-01,5,Vodka,98182240.0
2024-02-01,5,Vodka,113529208.0
2024-03-01,5,Vodka,90087320.0
2024-04-01,5,Vodka,92704056.0
2024-05-01,5,Vodka,109034280.0
2024-06-01,5,Vodka,116404704.0
2024-07-01,5,Vodka,117939536.0
2024-08-01,5,Vodka,117618080.0
2024-09-01,5,Vodka,110037376.0
2024-10-01,5,Vodka,112187448.0
2024-11-01,5,Vodka,98848640.0
2024-12-01,5,Vodka,97437456.0
2025-01-01,5,Vodka,111385184.0
2025-02-01,5,Vodka,112000320.0
